<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2S,20100518,3.08,3.08,3.06,3.06,24500
2S,20100519,3.1,3.1,3.06,3.06,11700
2S,20100524,3.06,3.08,3.06,3.06,163700
2S,20100525,3.06,3.06,2.96,3.04,57200
2S,20100526,3.02,3.02,3,3,118000
2S,20100527,2.98,3,2.98,3,23600
2S,20100531,3.02,3.02,3.02,3.02,2500
2S,20100601,3.02,3.02,3,3.02,11100
2S,20100602,3.02,3.08,3,3,97700
2S,20100603,3.04,3.1,3.04,3.06,183400
2S,20100604,3.06,3.06,3.04,3.06,16100
2S,20100607,3.06,3.3,3.02,3.08,1133300
2S,20100608,3.1,3.14,3.1,3.1,330400
2S,20100609,3.14,3.18,3.08,3.1,479800
2S,20100610,3.1,3.2,3.1,3.12,2267800
2S,20100611,3.14,3.14,3.06,3.06,361800
2S,20100614,3.06,3.1,3,3.06,473700
2S,20100615,3.1,3.1,3.06,3.08,678000
2S,20100616,3.08,3.12,3.06,3.06,1748700
2S,20100617,3.1,3.1,3.04,3.08,331500
2S,20100618,3.1,3.1,3.06,3.08,136900
2S,20100621,3.06,3.1,2.98,3.04,2112800
2S,20100622,3.04,3.08,3.04,3.04,51700
2S,20100623,3.06,3.1,3.02,3.06,395000
2S,20100624,3.08,3.08,3.04,3.08,184600
2S,20100625,3.06,3.1,3.04,3.06,356600
2S,20100628,3.1,3.1,3.06,3.06,20500
2S,20100629,3.08,3.1,3.04,3.06,68100
2S,20100630,3.08,3.08,3.04,3.04,11800
2S,20100702,3.04,3.12,3.04,3.06,871000
2S,20100705,3.06,3.14,3.06,3.12,392700
2S,20100706,3.12,3.14,3.06,3.06,283900
2S,20100707,3.08,3.1,3.08,3.1,2400
2S,20100708,3.08,3.1,3.08,3.1,14500
2S,20100709,3.1,3.2,3.08,3.08,812200
2S,20100712,3.12,3.12,3.08,3.08,39600
2S,20100713,3.08,3.1,3.08,3.08,107600
2S,20100714,3.08,3.12,3.08,3.12,143000
2S,20100715,3.12,3.12,3.1,3.12,9600
2S,20100716,3.12,3.12,3.1,3.1,34000
2S,20100719,3.1,3.1,3.08,3.1,648000
2S,20100720,3.12,3.16,3.08,3.08,315000
2S,20100721,3.08,3.12,3.08,3.12,89400
2S,20100722,3.14,3.2,3.12,3.14,642500
2S,20100723,3.18,3.18,3.12,3.14,73900
2S,20100727,3.16,3.16,3.12,3.12,108400
2S,20100728,3.12,3.16,3.1,3.12,92200
2S,20100729,3.1,3.2,3.1,3.14,225400
2S,20100730,3.14,3.22,3.12,3.16,792500
2S,20100802,3.16,3.26,3.16,3.2,874800
2S,20100803,3.22,3.28,3.22,3.28,657000
2S,20100804,3.5,3.5,3.32,3.44,2667300
2S,20100805,3.48,3.48,3.4,3.4,735400
2S,20100806,3.32,3.38,3.32,3.38,223300
2S,20100809,3.32,3.36,3.22,3.26,344400
2S,20100810,3.24,3.24,3.16,3.24,215700
2S,20100811,3.24,3.24,3.14,3.16,549000
2S,20100816,3.16,3.18,3.12,3.12,153600
2S,20100817,3.12,3.24,3.12,3.16,370600
2S,20100818,3.16,3.16,3.16,3.16,35600
2S,20100819,3.16,3.16,3.16,3.16,26500
2S,20100820,3.16,3.26,3.16,3.26,361800
2S,20100823,3.24,3.24,3.16,3.16,65300
2S,20100824,3.18,3.24,3.18,3.24,206000
2S,20100825,3.24,3.24,3.18,3.18,349400
2S,20100826,3.2,3.24,3.2,3.2,250100
2S,20100827,3.18,3.22,3.18,3.18,79900
2S,20100830,3.18,3.2,3.18,3.2,263300
2S,20100831,3.2,3.22,3.2,3.22,150100
2S,20100901,3.22,3.22,3.18,3.18,189100
2S,20100902,3.2,3.2,3.2,3.2,10000
2S,20100903,3.18,3.22,3.18,3.18,54000
2S,20100906,3.2,3.24,3.2,3.2,148800
2S,20100907,3.2,3.2,3.16,3.2,84500
2S,20100908,3.22,3.24,3.2,3.2,136300
2S,20100909,3.22,3.22,3.2,3.2,29400
2S,20100910,3.22,3.22,3.2,3.2,111300
2S,20100913,3.22,3.24,3.22,3.22,13400
2S,20100914,3.22,3.3,3.2,3.26,211300
2S,20100915,3.26,3.26,3.1,3.26,82700
2S,20100916,3.26,3.26,3.24,3.24,19100
2S,20100917,3.2,3.24,3.2,3.22,12400
2S,20100920,3.22,3.24,3.22,3.22,40500
2S,20100921,3.2,3.22,3.18,3.22,44000
2S,20100922,3.2,3.22,3.2,3.22,110000
2S,20100923,3.22,3.22,3.22,3.22,10100
2S,20100924,3.28,3.28,3.28,3.28,600
2S,20100927,3.26,3.26,3.2,3.2,52200
2S,20100928,3.24,3.24,3.24,3.24,22500
2S,20100929,3.2,3.2,3.2,3.2,22500
2S,20100930,3.2,3.2,3.2,3.2,62600
2S,20101001,3.22,3.22,3.22,3.22,10000
2S,20101004,3.2,3.2,3.12,3.14,598200
2S,20101005,3.16,3.16,3.14,3.16,120000
2S,20101006,3.16,3.22,3.16,3.22,2700
2S,20101007,3.22,3.22,3.18,3.18,13100
2S,20101011,3.16,3.22,3.14,3.22,249000
2S,20101012,3.22,3.22,3.16,3.16,53000
2S,20101013,3.22,3.24,3.16,3.22,149700
2S,20101014,3.22,3.22,3.22,3.22,9000
2S,20101015,3.22,3.24,3.2,3.24,156100
2S,20101019,3.18,3.18,3.18,3.18,15000
2S,20101020,3.24,3.3,3.18,3.18,18000
2S,20101021,3.2,3.2,3.18,3.18,12800
2S,20101022,3.22,3.22,3.2,3.22,62900
2S,20101026,3.24,3.24,3.24,3.24,29000
2S,20101027,3.2,3.22,3.2,3.22,262400
2S,20101028,3.24,3.3,3.22,3.26,275500
2S,20101029,3.28,3.32,3.26,3.26,480000
2S,20101101,3.24,3.26,3.22,3.24,390900
2S,20101102,3.2,3.24,3.2,3.24,18700
2S,20101103,3.2,3.24,3.18,3.24,307500
2S,20101104,3.2,3.24,3.18,3.22,355200
2S,20101105,3.18,3.2,3.18,3.2,303000
2S,20101109,3.24,3.24,3.2,3.2,301400
2S,20101110,3.2,3.2,3.2,3.2,260000
2S,20101111,3.2,3.28,3.16,3.22,610300
2S,20101112,3.2,3.2,3.14,3.14,151000
2S,20101115,3.24,3.24,3.14,3.14,1200
2S,20101116,3.16,3.16,3.14,3.14,70000
2S,20101117,3.14,3.14,3.1,3.1,132100
2S,20101118,3.12,3.2,3.1,3.2,192100
2S,20101119,3.14,3.14,3.14,3.14,154000
2S,20101122,3.28,3.28,3.14,3.14,23000
2S,20101123,3.16,3.18,3.16,3.18,25500
